id,question_id,term,answer_zh,intended_ja,bluesky_uri,posted_at,created_at,draft_zh,correction_note,scheduled_at
95,95,1,最近夏天太热了，尽量待在空调房里。中午特别热，所以要出门的时候，早点儿或者晚点儿出去。打太阳伞和多喝水也很重要。,最近の夏は暑すぎるので、できるだけ空調の効いた部屋にいます。昼間は特に暑いので、出かけないといけないときは早めもしくは遅めに出ます。日傘と水分補給も重要です。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m572johmtk2t,2025-11-09 11:57:42.75+00,2025-12-30 12:22:30.145876+00,,,
96,96,1,我喜欢收集宝可梦。玩游戏的时候，我最喜欢收集宝可梦和填满图鉴。我也想收集布娃娃，但是没有足够的空间和钱。,ポケモンを集めるのが好きです。ゲームで遊ぶときは集めて図鑑を埋めるのを1番楽しんでいます。ぬいぐるみも集めたいけど、場所もお金も足りません。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5bp7avcoc2n,2025-11-10 13:13:01.029+00,2025-12-30 12:22:30.23182+00,,,
97,97,1,"讨厌做的家务吗？全部！
对我来说，家务都很麻烦。当然，不能不做家务，只能不情愿地做……。","嫌いな家事！？全部です。
私にとって家事はすべからく面倒です。もちろん、家事をしないことはできないので、渋々やるのですが……。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5dscjnxms2a,2025-11-11 09:13:51.591+00,2025-12-30 12:22:30.332558+00,,,
98,98,1,我最喜欢汤圆！自从在中华街吃了黑芝麻汤圆以后，去中餐馆的时候，一定会看菜单上有没有汤圆。但是经常卖完了，所以我平时在KALDI买速冻汤圆。,湯円が大好きです。中華街で黒胡麻湯円を食べて以降、中華屋に行くときは必ずメニューにないか探します。ただ売り切れていることが多いので、普段はカルディで冷凍湯円を買っています。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5gj25mzzc2h,2025-11-12 11:06:06.081+00,2025-12-30 12:22:30.428752+00,,,
99,99,1,"我觉得我小时候是个爱顶嘴的孩子。
现在可能也没什么变化。以后也会一直这样吗？",生意気な子どもだったと思う。まあ今とあまり変わらないかも。このままずっとこうなのかな？,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5itjkds6c2t,2025-11-13 09:18:59.622+00,2025-12-30 12:22:30.51619+00,,,
100,100,1,"今天是阴天，很冷。
我没出门，但是身体都凉了🥶我不喜欢这么冷的季节。","今日は曇っていて、寒かったです。
外に出なかったのに、身体が冷えました。寒い季節は好きではありません。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5lx5efpwk2n,2025-11-14 15:01:44.923+00,2025-12-30 12:22:30.625208+00,,,
101,101,1,区别在于拥有的信息量。做判断需要信息，需要知识和经历。无论是大人还是小孩，都是人。,違いは持ってる情報量かな。判断するのには知識とか経験とか情報が必要だと思うから。大人でも子どもでも人間であることに変わりはないし。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5qsvj3lqk2m,2025-11-16 13:29:05.122+00,2025-12-30 12:22:30.702692+00,,,
102,102,1,"我每周都买牛奶。用牛奶冲蛋白粉喝。
最近很冷，喝热牛奶也很好。",毎週牛乳を買っています。プロテインを牛乳に溶かして飲んでいます。最近は寒いので、ホットミルクも良いです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5tdvkqv3223,2025-11-17 13:38:39.957+00,2025-12-30 12:22:30.804922+00,,,
103,103,1,"我喜欢学习外语，所以有很多想学的语言。
最近我开始学习阿拉伯语。阿拉伯语的字跟汉语和日语完全不一样，很有意思。",外国語を勉強するのが好きなので、学びたい言語はたくさんあります。最近アラビア語を勉強し始めました。アラビア語の文字は中国語や日本語と違うので、興味深いです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5veo5lm3c2j,2025-11-18 08:57:44.489+00,2025-12-30 12:22:30.892424+00,,,
104,104,1,我喜欢《罗小黑战记》。那部电影是我开始学习汉语的契机。最近《罗小黑战记2》日配版终于出了，很高兴。,羅小黒戦記が好きです。私が中国語を勉強し始めるきっかけになった映画です。最近ついに羅小黒戦記2の日本語吹き替え版が来て、とても楽しんでいます。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m5y6cggqnk2h,2025-11-19 11:41:47.878+00,2025-12-30 12:22:30.979241+00,,,
105,105,1,漫画《JOJO的奇妙冒险》里阿巴基奥朋友的台词。他说“重要的是追求真相的意志”。我觉得这句话很适合现在的情况。,漫画「ジョジョの奇妙な冒険」のアバッキオの友人のセリフです。「真実に向かう意思」について話しています。最近の情勢にも合っていると思います。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m62fddqqr226,2025-11-20 08:52:54.28+00,2025-12-30 12:22:31.076687+00,,,
106,106,1,我想不出来。我对疾病的历史有兴趣，但是没有特别想见的人。现在重新学习历史，明年也许就会有想见的人了。,思いつきません。病気の歴史に興味がありますが、人は思いつきません。今歴史を勉強し直しているので、来年は誰かいるかもしれません。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m65es7qdmk2e,2025-11-21 13:21:18.865+00,2025-12-30 12:22:31.173778+00,,,
107,107,1,"我最近没哭。
生活比较忙，但没有让我哭的事情。有点儿累，所以我也许在避开容易感动的东西。",最近は泣いていません。生活は比較的忙しいですが、泣くようなことはありません。ちょっと疲れているから、感動するもの避けているかも。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m67epkrprs2q,2025-11-22 08:25:09.259+00,2025-12-30 12:22:31.28188+00,,,
108,108,1,说实话，我可能每一天都很容易忘掉……。我觉得我的记忆都很模糊。而且我想马上忘掉不愉快的事情。,結局どんな日も簡単に忘れているかも……。自分の記憶はいつも曖昧だと感じています。悪いことはすぐ忘れたいし。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m6cfi6gam224,2025-11-23 13:16:54.376+00,2025-12-30 12:22:31.387295+00,,,
109,109,1,"我还没去过中国。
从开始上汉语课到现在,快一年了，所以我想去中国旅游。第一次去哪儿好呢？",まだ行ったことがありません。中国語の授業を受け始めてからそろそろ1年経つので、中国旅行に行きたいです。最初はどこに行くのがいいかな？,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m6gzljax3k2k,2025-11-25 09:27:20.19+00,2025-12-30 12:22:31.508718+00,,,
110,110,1,"我联想到苹果。苹果是我长大的地方的特产。
现在是冬天，正值苹果的季节，商店里有很多苹果甜点，我很高兴。",りんごを連想します。りんごは育った土地の特産品です。今冬のりんごの季節で、たくさんのりんごのお菓子があり、嬉しいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m6juab3llc2m,2025-11-26 12:29:33.033+00,2025-12-30 12:22:31.670292+00,,,
111,111,1,大概要走十五分钟。跑的话，要六分钟。我总是慢慢地出门，然后全力跑步，刚好来得及。,だいたい歩いて15分です。走るとだいたい6分です。いつもゆっくり出て、全力で走って、時間ギリギリで間に合わせています。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m6p6tkr6jk25,2025-11-28 15:22:36.822+00,2025-12-30 12:22:31.808694+00,,,
112,112,1,我吃东西吃得很慢。对我来说，吞咽比较困难，所以需要细嚼慢咽。我想吃快一点儿。,食べるのは遅いです。私にとっては飲み込むのが難しいので、よく噛む必要があります。もう少し早く食べたいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m6p6tysihc25,2025-11-28 15:22:51.546+00,2025-12-30 12:22:31.903096+00,,,
113,113,1,"我喜欢现在用的钢笔。这支笔书写流畅。
从九月到现在，我一直用这支笔写着这些日记。",今使っている万年筆はお気に入りです。書き心地が良いです。9月から今まで、ずっとこの万年筆を使ってこの日記を書いています。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m6rgplymn22k,2025-11-29 12:48:53.308+00,2025-12-30 12:22:31.996594+00,,,
114,114,1,我想带各种工具。我需要水、食物和温暖的睡觉的地方。说实话、我想尽快回家。,色々道具を持っていきたいです。私たちには水と食べ物と温かい寝床が必要ですし。正直に言うと一刻も早く帰りたいですけど。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m6ypvi7owc2c,2025-12-02 10:21:52.517+00,2025-12-30 12:22:32.09213+00,,,
115,115,1,我觉得自己比较内向。比小时候好一点儿，现在还不擅长。跟别人说话后，累得不行。,人見知りする方だと思います。昔より少しマシになりましたが、まだ得意ではありません。他の人と話すと、いつもすごく疲れます。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m73dzgj5uc2e,2025-12-03 11:27:19.261+00,2025-12-30 12:22:32.183244+00,,,
116,116,1,现在我上汉语课的老师真好，所以我觉得我不会忘记他。他的课很有趣，也很易懂。每节课有九十分钟，但是我感到每节课都一眨眼就下课了。,今受けている中国語の先生はとても良くて、彼を忘れないと思います。授業が楽しくてわかりやすいです。90分授業ですが、いつもあっという間に終わっていると感じます。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m75w2fwj6k2r,2025-12-04 11:55:19.035+00,2025-12-30 12:22:32.281009+00,,,
117,117,1,我不常欣赏这些。实际上我没有欣赏话剧和音乐剧的习惯。偶尔去美术馆和博物馆。,普段鑑賞はしません。実のところ演劇やコンサートに行く習慣がありません。ときどき美術館や博物館にはいきます。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7ak7u3jv22r,2025-12-05 13:01:35.964+00,2025-12-30 12:22:32.37098+00,,,
118,118,1,"上学的时候我喜欢英语课和数学课。
我觉得当时不知道社会课那么有意思。我现在比当时更享受学习各种东西。",学校に通っていたころは英語と数学が好きでした。当時は社会科がどう面白いかわかっていなかったと思います。今は当時よりも色々学ぶのが楽しいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7ckcjml422o,2025-12-06 08:08:25.129+00,2025-12-30 12:22:32.462636+00,,,
119,119,1,我坐交通工具的时候，一般都在睡觉。我也不知道为什么，总是犯困。不睡觉的时候，就玩手机或者看书。,乗り物に乗っている時はだいたい寝ています。理由はわからないけれど、いつも眠くなるんです。寝ていない時は、スマホか本を見ています。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7fijdr7jc23,2025-12-07 12:14:25.601+00,2025-12-30 12:22:32.559802+00,,,
120,120,1,因为我迷上了中国动画片。我看过的动画片有日语配音，但是我想听懂原版。现在比以前能多理解一点儿了，我很高兴。,中国のアニメにハマったからです。私が見たアニメは日本語吹き替えがありましたが、原語を理解したいと思いました。今は以前より少し理解できるようになり、嬉しいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7i3suloos2u,2025-12-08 13:05:05.807+00,2025-12-30 12:22:32.699681+00,,,
121,121,1,我不知道！我不喜欢生活的变化，但是随着时间的流逝，事物总在变化。现在只希望一切平安。,わかりません！生活の変化はあまり好きではありませんが、時間の流れとともに物事は変わっていきます。今はただ平穏を祈るのみです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7k6rjlv3s2g,2025-12-09 09:03:21.427+00,2025-12-30 12:22:32.806406+00,,,
122,122,1,我搬过六次家。搬家很麻烦，但是换换环境也不错。下次搬家的时候，想住在暖和的地方。,6回引越したことがあります。引越しは面倒ですが環境を変えるのは少し楽しいです。次引越しするときは暖かい場所に住みたいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7n3hjqr222s,2025-12-10 12:42:04.03+00,2025-12-30 12:22:32.907647+00,,,
123,123,1,"我害怕讲不通道理又有攻击性的事。
因为对这种情况，我无能为力。遇到那种情况时，只能逃跑。",話が通じなくて攻撃的なものが苦手です。私にできることがないから。そう言う場面にあったときは、逃げるしかない……。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7pb37hv4k22,2025-12-11 09:27:52.525+00,2025-12-30 12:22:32.993867+00,,,
124,124,1,现在我想去未来看看。与其说想去未来，不如说想知道世界是否和平。因为最近形势越来越紧张，我感到不安。,今はちょっと未来に行ってみたいです。未来に行きたいというよりは、世界が平和か知りたいです。最近情勢が緊張感を増してきていて、不安な気持ちだからです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3m7zqfnn2ps2l,2025-12-15 13:28:46.43+00,2025-12-30 12:22:33.106953+00,,,
125,125,1,我想去太空旅行。等普通人也能去太空旅行时，太空站会是什么样呢？我对太空城市很感兴趣。,宇宙旅行は行ってみたいです。私たち一般人が宇宙旅行に行ける頃には、宇宙ステーションはどうなってるのでしょう？宇宙の街に興味があります。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3ma3syrzbh22t,2025-12-16 09:20:35.521+00,2025-12-30 12:22:33.216949+00,,,
126,126,1,我用环保袋，其他的想不出来。平时不太注意这方面。我需要多学习环保知识。,エコバッグは使っていますが、他は思いつきません。あまり意識していないかも。もっと環境問題について学ぶ必要があります。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3ma6qxutcbs2q,2025-12-17 13:22:16.645+00,2025-12-30 12:22:33.308292+00,,,
127,127,1,"我的人生目标是想干什么就干什么。
我体力不够，也没有远大的目标，但是我有很多想做的事。所以我尽量做我想做的事。",やりたいことをやることですかね。体力もないし立派な目標もありませんが、「やりたい」はたくさんあるんです。だからなるべく「やりたい」ことをやりたいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mabajc46js2r,2025-12-18 13:05:46.604+00,2025-12-30 12:22:33.407909+00,,,
128,128,1,"我一个人生活了大概十年。
一个人生活很安静，也很舒服。但是感冒的时候，会比较不安。",十年ほど一人暮らししたことがあります。一人暮らしは静かで快適です。ただ風邪を引いたときは不安ですね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3madtagxjps2b,2025-12-19 13:46:10.275+00,2025-12-30 12:22:33.523847+00,,,
129,129,1,我去过两个国家。我在曼谷住了一年，还去过台湾旅游。我正在更新护照，明年我想出国旅行。,二つの国に行ったことがあります。バンコクに一年住んだことがあり、それから台湾に旅行に行ったことがあります。今パスポートを更新中なので、来年は海外旅行に行きたいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mafwgzvaq22q,2025-12-20 09:48:52.152+00,2025-12-30 12:22:33.614632+00,,,
130,130,1,我喜欢《摸布想自己賺罐罐》。讲一只叫模布的猫的日常生活的漫画，里面所有的猫都很可爱。其实，我喜欢那位作者的画风。,「三毛猫モブは猫缶を稼ぎたい」が好きです。モブという猫の日常漫画で、漫画に出てくるすべての猫が可愛いです。正直な話、作者さんの絵が好きなんですよね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3maiqbqdtc22v,2025-12-21 12:36:31.136+00,2025-12-30 12:22:33.748791+00,,,
131,131,1,没被蛰过。小时候，妈妈让我不要碰蜂，因为很危险。今后也不想被蜂蛰。,刺されたことはありません。小さい頃に母に危ないから蜂に触るなと言われました。今後も刺されたくありませんね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mal6zwhal226,2025-12-22 12:05:54.708+00,2025-12-30 12:22:33.852292+00,,,
132,132,1,"有很多，选一个很难。
最近吃的东西中，我最喜欢汤圆。朋友说花生汤圆最好吃，很想尝尝。",たくさんあるから一つ選ぶのは難しいですね。最近知った中でいうと、湯円が1番好きです。友人が1番美味しいと言っていたので、ピーナッツ湯円が食べたいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mantq7lpak2a,2025-12-23 13:21:36.802+00,2025-12-30 12:22:33.962137+00,,,
133,133,1,"今天，我正在熬夜。
我应该快点睡，但爱好的事情还没做完。
写完这个后，我就去睡觉。","今日、というか今夜更かし中です。
早く寝るべきなのですが、趣味の作業が終わっていなくて。これを書いたら絶対寝ます。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3maqlb2z2tc22,2025-12-24 15:27:57.961+00,2025-12-30 12:22:34.065893+00,,,
134,134,1,"我两个都不常去。
我想去看展览，但是每个周末都很累，去不了。年末休假的时候，我想去某个博物馆或美术馆。",どちらもあまり行きません。展示を見に行きたいのですが、毎週末疲れていて、いけません。年末休暇中に、どこかの博物館か美術館に行きたいですね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3marda5pzp225,2025-12-24 22:36:57.06+00,2025-12-30 12:22:34.245986+00,,,
135,135,1,我是一个爱花钱的人。我总是马上买书。我囤了很多书，所以明年想先把那些书看完。,浪費家ですね。すぐ本買っちゃう。積読がたくさんあるので、来年は先にそっち読みたいですね。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mavibisgik2l,2025-12-26 14:17:49.89+00,2025-12-30 12:22:34.356819+00,,,
136,136,1,我不知道为什么，但是我舍不得扔掉爸爸给我的大王乌贼的嘴。我也不需要，也没什么用。怎么办啊。,なんでかわかりませんが、父からもらったダイオウイカの嘴は捨てられていません。いらないし必要ないのですが。どうしようかな。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3maxe3axv2s2a,2025-12-27 08:08:04.863+00,2025-12-30 12:22:34.457545+00,,,
137,137,1,"我有驾照，但已经十年没开车了。
因为我是一个粗心的人，我害怕出事故。
所以当然不喜欢开车。",免許は持っていますがここ10年は運転していません。不注意な人間なので、事故を起こすのが怖いです。当然、運転は好きではありません。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mb2l3sfezs2t,2025-12-28 14:51:38.539+00,2025-12-30 12:22:34.56696+00,,,
138,138,1,"我经常去最近的便利店，没有最喜欢的一家。
每家便利店都有自己的特色，都很好。现在便利店的热食都很好吃。",いつも1番近いコンビニに行くので、特にどこが1番好きというものはありません。どのコンビニも特色があり、良いです。最近のコンビニのホットスナックはどれも美味しいですし。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mb4b4alcw22j,2025-12-29 06:58:15.472+00,2025-12-30 12:22:34.648013+00,,,
139,139,1,"我不会游泳。更确切地说，我会浮在水上，也会一点儿打水，但是不会换气。
游泳需要场地，长大以后，开始学有点儿难啊。","泳げません。正確には、浮けるしバタ足くらいなら少しできるけど、息継ぎができません。
水泳は場所が必要だから、大人になると始めるの難しそうだな。",at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mb6csoevpk2z,2025-12-30 02:34:01.358+00,2025-12-30 12:22:34.76532+00,,,
140,140,1,我理想中的假日是不用闹钟起床，悠闲地吃早饭，发发呆，然后做想做的事情。我不想着急，希望总是轻松地度过。说实话，我需要一个长假。,私の理想の休日は、目覚まし時計を使わずに起床し、のんびりと朝食を食べ、ぼーっとして、それからやりたいことをやる、です。焦りたくないし、いつもゆったり過ごしたいです。正直に言うと、長い休みが必要です。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mbeep4snez2r,2026-01-01 12:31:03.439+00,2026-01-01 12:31:04.167081+00,我理想中的假日是没用闹钟起床，悠悠闲闲吃早饭，无所事事，然后做想做的事情。我不喜欢着急，希望总是安静地度过。其实说，我要长期的休假。,"# 中国語添削メモ（2026年1月1日）

## 原文と修正後

### 原文
我理想中的假日是没用闹钟起床，悠悠闲闲吃早饭，无所事事，然后做想做的事情。我不喜欢着急，希望总是安静地度过。其实说，我要长期的休假。

### 修正後
我理想中的假日是不用闹钟起床，悠闲地吃早饭，发发呆，然后做想做的事情。我不想着急，希望总是轻松地度过。说实话，我需要一个长假。

---

## 修正ポイント

### 1. 没用 → 不用
- 「没用」は過去の事実（使わなかった）
- 「不用」は習慣や希望（使わない）
- 理想を語る文脈では「不用」が適切

### 2. 悠悠闲闲 → 悠闲地
- 動詞「吃」を修飾する場合は「悠闲地」がより自然

### 3. 无所事事 → 发发呆
- 「无所事事」はやや否定的（怠けているニュアンス）
- 「发呆」はリラックスして「ぼーっとする」意味
- 重ね型「发发呆」で軽い感じに

### 4. 不喜欢着急 → 不想着急
- 「焦りたくない」という意志は「不想〜」
- 「不喜欢」は好みの話になる

### 5. 安静地度过 → 轻松地度过
- 「安静」は「静か」という意味
- 「ゆったり」には「轻松」（リラックスした）が適切

### 6. 其实说 → 说实话
- 「正直に言うと」は固定表現「说实话」
- 「其实」は「実は」で単独で使う

### 7. 我要长期的休假 → 我需要一个长假
- 「长期」は大げさ、「长假」が自然
- 「需要」の方が「必要だ」のニュアンスに近い

---

## 学習ポイント

- **没/不の使い分け**: 過去の事実 vs 習慣・意志
- **固定表現**: 说实话、发呆など
- **ニュアンスの違い**: 安静 vs 轻松、要 vs 需要",
141,141,1,我没中过彩票。更确切地说，我没买过彩票。我觉得我对彩票不太感兴趣。,宝くじに当たったことはありません。正確には、宝くじを買ったことがありません。あまり興味がないのだと思います。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mbgzq7htss2k,2026-01-02 13:45:43.308+00,2026-01-02 13:45:44.019354+00,我没中过彩票。跟确切的说，我没买过彩票。我觉得我不太感兴趣。,"# 中国語添削メモ（2025年1月2日）

## 原文と修正後

### 原文
我没中过彩票。跟确切的说，我没买过彩票。我觉得我不太感兴趣。

### 修正後
我没中过彩票。更确切地说，我没买过彩票。我觉得我对彩票不太感兴趣。

---

## 修正ポイント

### 1. 跟确切的说 → 更确切地说
- 「正確には」は固定表現「更确切地说」
- 「跟」は不要
- 副詞を作るのは「地」（「的」ではない）

### 2. 我不太感兴趣 → 我对彩票不太感兴趣
- 「感兴趣」は「对〜感兴趣」の形で使う
- 目的語を明示することで文意が明確に

---

## 学習ポイント

- **固定表現**: 更确切地说（正確に言うと）
- **的/地/得の使い分け**: 動詞を修飾する副詞には「地」
- **对〜感兴趣**: 「〜に興味がある」の構文",
143,142,1,除了日本菜，我还喜欢中国菜和泰国菜。我觉得这两种菜的面条都很好吃。我不喜欢吃太辣的菜，但是我喜欢酸的菜和虾。,日本料理以外だと、中華料理とタイ料理が好きです。どちらも麺類がおいしいと思います。辛すぎる料理は苦手ですが、酸っぱい料理とエビが好きです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mbj5rma5xm2q,2026-01-03 10:03:18.405+00,2026-01-03 10:03:18.908799+00,除了日本菜、我还喜欢中国菜和泰国菜。我觉得两个面条都很好吃。我不喜欢吃太辣的菜、但是我喜欢酸的菜和虾肉。,"1. **除了日本菜** → **除了日本菜以外**
   - 日本語の「〜以外だと」に対応するため、「除了...以外」の構文を使用する方が自然です。

2. **两个面条** → **两种面条**
   - 「二つの麺類」という意味で「两个」は不適切。「两种」（二種類の）が正しい表現です。

3. **我不喜欢吃太辣的菜、** → **我不喜欢吃太辣的菜，**
   - 中国語では読点「、」ではなくコンマ「，」を使用します。

4. **虾肉** → **虾**
   - 「エビ」は「虾」で十分です。「虾肉」だと「エビの身」という意味になり、やや不自然です。",
144,144,1,我没有爬过富士山。富士山很有名，我一直想爬一次，但还没有去成。明年要不要试试呢？,富士山に登ったことはありません。有名なので、一度登ってみたいのですが、まだできていません。来年行ってみる？,https://bsky.app/profile/en0ki.bsky.social/post/3mbarnh7rqk2l,2025-12-31 02:04:00+00,2026-01-04 02:06:05.046973+00,我没有爬过富士山。富士山很有名，我一直去想尝试爬一次，但还没有做到。明年要不要试试呢？,"1. **一直想 vs 一直去想**
    - 「一直想」⭕ = ずっと思っている
    - 「一直去想」❌ 「去」は不要
  2. **尝试 vs 直接動詞**
    - 「想尝试爬」= 登ってみたい（やや冗長）
    - 「想爬」= 登りたい（シンプル）
    - 「想去爬」= 登りに行きたい
  3. **做到 vs 实现 vs 去成**
    - 「做到」= 達成する（目標・要求を）例：「做到最好」
    - 「实现」= 実現する（願望・計画を）例：「实现梦想」
    - 「去成」= 行けた（口語的、結果補語）例：「没去成」
  4. **要不要试试 vs 去试试吧**
    - 「要不要试试呢？」= やってみようか？（自問自答）
    - 「去试试吧？」= 行ってみようよ（提案）
    - どちらも使えます",
145,143,1,没有。我喜欢现在这种工作。如果跳槽的话，我想选择同样类型的工作。,ありません。今やっているような仕事が好きです。転職するにしても同じ種類の仕事を選びたいです。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mblvqlxcsz2x,2026-01-04 12:17:29.402+00,2026-01-04 03:43:57.290943+00,没有。我喜欢现在一类工作。如果跳槽，我想选择一样类的工作。,"1. **「现在一类工作」→「现在这种工作」**
   - 「一类」は分類を表す言葉で、「今やっている仕事」という文脈では不自然
   - 「这种」（この種の）の方が「今やっているような仕事」という意味により適している

2. **「如果跳槽」→「如果跳槽的话」**
   - 「如果」を使う場合は「的话」を付けることで、より自然な中国語の表現になる

3. **「一样类的工作」→「同样类型的工作」**
   - 「一样类」は中国語として不自然な表現
   - 「同样类型」（同じタイプ）または「同种类型」がより適切",
146,145,1,我露营过。小时候和开始工作的时候露营过。但是总是为了学校或公司的活动，不是我自己的意思。,キャンプはしたことがあります。子どもの頃と、仕事を始めたころです。ただいつも学校や会社のイベントのためで、自分の意志ではありませんでした。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mbo6irappv24,2026-01-05 09:59:29.665+00,2026-01-04 07:00:50.956135+00,我露营过。小时候和开始工作的时候。但是总是为学校或公司活动. 不是我自己的意思。,"1. **第二文の補完**
   - 修正前：`小时候和开始工作的时候。`
   - 修正後：`小时候和开始工作的时候露营过。`
   - 理由：述語が省略されており、文として不完全だったため「露营过」を補いました。

2. **前置詞の修正**
   - 修正前：`为学校或公司活动`
   - 修正後：`为了学校或公司的活动`
   - 理由：「～のために」という目的を表す場合は「为了」を使用し、「学校や会社の活動」という所有関係を明確にするため「的」を追加しました。

3. **句読点の修正**
   - 修正前：`但是总是为学校或公司活动. 不是我自己的意思。`
   - 修正後：`但是总是为了学校或公司的活动，不是我自己的意思。`
   - 理由：関連する内容なので句点ではなく読点でつなげ、一文として自然な流れにしました。",
147,146,1,先多休息一下。调整心情很难，所以我觉得先整理身体状况比较重要。吃喜欢吃的东西，泡热水澡，然后睡觉。,先にたくさん休みます。心の調子を整えるのは難しいので、先に身体の状況を整えます。好きなのを食べて、熱い湯につかり、寝ます。,at://did:plc:f2ud37i6vbafoqiu56eplek7/app.bsky.feed.post/3mbqnc7mb7h2k,2026-01-06 09:29:35.446+00,2026-01-06 04:40:27.299182+00,先休息很多。镇静很难，所以我觉得让身体状况好很重要。吃爱吃的东西，热水澡，睡觉。,"## 主要修正点

**1. ""先休息很多"" → ""先多休息一下""**
- 理由：「たくさん休む」は中国語では""多休息""が自然。""一下""を加えることでより自然な表現になる

**2. ""镇静很难"" → ""调整心情很难""**
- 理由：「心の調子を整える」は""调整心情""が適切。""镇静""は「鎮静する」という意味で文脈に合わない

**3. ""让身体状况好很重要"" → ""先整理身体状况比较重要""**
- 理由：原文の「先に身体の状況を整える」という意味を反映するため""先整理""を使用。""比较重要""でより自然な表現に

**4. ""吃爱吃的东西"" → ""吃喜欢吃的东西""**
- 理由：「好きなもの」は""喜欢的东西""が一般的。""爱吃""より""喜欢吃""の方が自然

**5. ""热水澡"" → ""泡热水澡""**
- 理由：「熱い湯につかる」は動詞""泡""が必要。単に""热水澡""だけでは不完全

**6. 文末に""然后""を追加**
- 理由：一連の動作の流れを表すため、最後の""睡觉""の前に""然后""を加えるとより自然",
